word,freq,,,
SI, SI,,,
SI, SI,,,
ANTES, PASADO,,,
AH SÍ, HUMMM,,,
FUE-con otro, a otro lado,,,
ECHAR,1,,,
ECHAR (CAMA),1,,,
ECHARSE EN ALGO,1,,,
EEE--PERSONA,1,,,
EEEEEHH,1,,,
EEEEH,1,,,
EEEEHH,1,,,
EEEH,1,,,
EEH?,1,,,
EH?,1,,,
EJEMPLO,1,,,
EJERCICIO,1,,,
EL CAMINAR OTRO LADO,1,,,
EL CUARTO,1,,,
EL FUE,1,,,
EL OTRO LE RESPONDE,1,,,
EL OTRO VIENE,1,,,
EL SEGUNDO,1,,,
EL SIGUIENTE DIA O MAÑANA,1,,,
EL/ ELLOS,1,,,
EL/ELLA,1,,,
EL/ELLA ,1,,,
ELLA (MUJER+ESA),1,,,
ELLA DECIR,1,,,
ELLA( A LA CHICA),1,,,
ELLOS/ AHÍ,1,,,
ELLOS/ELLAS,1,,,
EMOCIONAR,1,,,
EMPEZAR,1,,,
EN GRUPO,1,,,
EN(ESPAÑOL SIGNADO,1,,,
ENAMORADO,1,,,
ENAMORAR,1,,,
ENCAJAR,1,,,
ENCONTRAR O ACERCAR,1,,,
ENCONTRAR/ ACERCAR,1,,,
ENCONTRAR/ACERCAR,1,,,
ENCONTRARON,1,,,
ENCONTRARSE/ ACERCARSE,1,,,
ENFERMA EN ASL,1,,,
ENFERMA EN LSP,1,,,
ENFERMA(ASL),1,,,
ENFERMA/ FIEBRE?,1,,,
ENFERMO,1,,,
ENFOCAR/ ESTAR ATENTA,1,,,
ENGAÑAR,1,,,
ENGAÑARME,1,,,
ENGAÑO,1,,,
ENTENDISTE?,1,,,
ENTIENDO,1,,,
ENTRAMOS,1,,,
ENTRARON/ ADENTRO,1,,,
ENTRISTECER,1,,,
ENTUSIASMADA,1,,,
ENYESAR,1,,,
ERROR,1,,,
ESA - ESA,1,,,
ESA MUJER,1,,,
ESA/ELLA,1,,,
ESA/LA ,1,,,
ESCAPAR,1,,,
ESCOGER- ESCOGER/ ELEGIR,1,,,
ESCONDER (ASL),1,,,
ESCRIBIR,1,,,
ESCUCHAR PSL,1,,,
ESE (OTRO) ÉL,1,,,
ESE HOMBRE,1,,,
ESE MISMO/ QUE,1,,,
ESE(A),1,,,
ESE/ ESA,1,,,
ESE/ ÉSTE,1,,,
ESE? YO?,1,,,
ESOS,1,,,
ESPEJO,1,,,
ESPERA / AGUANTA,1,,,
ESPERAR O DETENER,1,,,
ESPERAR/ AGUARDA,1,,,
ESPOSO O CASAR,1,,,
ESPOSO(A),1,,,
ESTA BIEN,1,,,
ESTAR,1,,,
ESTATURA/ TALLA/ MIDE,1,,,
ESTE(A),1,,,
ESTE/ AHÍ,1,,,
ESTE/ ESTA,1,,,
ESTE/ESTA/ELLA,1,,,
ESTEEEE HUMMMM,1,,,
ESTO,1,,,
ESTUDIAR ,1,,,
ESTÁ BIEN,1,,,
ESTÁN?,1,,,
EXACTA/ PERFECTO,1,,,
F-E-B-E-R,1,,,
FAMILIA,1,,,
FINGIR,1,,,
FLACO-FLACO(REPETICIÓN),1,,,
FLACO/DELGADO,1,,,
FRACTURA,1,,,
FRACTURA- FRACTURA,1,,,
FRACTURA/ DISLOCAR,1,,,
FRACTURAR/ ROMPER,1,,,
FRIÓ,1,,,
FRÍO?,1,,,
FUE - FUERON,1,,,
G-I-T-A-N-A,1,,,
G-J-O-N,1,,,
GORDO(A),1,,,
GORRA,1,,,
GOZAR/ FELIZ,1,,,
GRADAS/ ESCALERAS,1,,,
GRANDE O ALTO,1,,,
GRANDES/ ALTOS,1,,,
GUAPA,1,,,
GUAPO,1,,,
GUARDAR EN LSP,1,,,
GUSTAS,1,,,
HABLAMOS,1,,,
HABLARON/ CONVERSARON,1,,,
HABLARÓN/ CONVERSARON,1,,,
HACE PREGUNTAS,1,,,
HACER PREGUNTAS,1,,,
HACER UNA LLAMADA,1,,,
HACER??,1,,,
HASTA,1,,,
HASTA (ASL),1,,,
HASTA (EN ASL),1,,,
HE DICHO,1,,,
HIJA (EN ASL),1,,,
HIJA(O),1,,,
HIJAS,1,,,
HIJO(A),1,,,
HIJO-HIJO,1,,,
HIJOS,1,,,
HINCHAZÓN POR LA CABEZA/ INFLAMAR,1,,,
HOMBRE???,1,,,
HOMBRES ,1,,,
HOY/ ACÁ,1,,,
HUMMM SÍ?,1,,,
HUMMM',1,,,
HUMMM? PENSANTIVO,1,,,
HUMMM? SÍ,1,,,
HUMMM???,1,,,
HUMMMMM?,1,,,
HUMMMMMM,1,,,
IDEA ,1,,,
IDEA/ EUREKA,1,,,
IGUAL -IGUAL,1,,,
IGUAL/ ENCAJA,1,,,
IGUAL/ ENCAJAR,1,,,
IMAGINANDO O PREGUNTA,1,,,
IMAGINANDO? PREGUNTA?,1,,,
IMAGINAR,1,,,
IMPORTA,1,,,
IR-fue,1,,,
J,1,,,
J-H-N,1,,,
J-O-H-N-Y-S-U-E,1,,,
J-O-N,1,,,
J-O-N-Y-S-U-E,1,,,
J-U-A-N-,1,,,
J-U-A-NNNN,1,,,
JOVENES (CHICAS),1,,,
JOVENES/CHICOS,1,,,
JUGUETÓN,1,,,
JUNTOS/ CON,1,,,
JUNTOS/ EN GRUPO,1,,,
LA ADIVINA LE RESPONDE: QUÉ??,1,,,
LA MISMA,1,,,
LA Ó ESE,1,,,
LADRONES/ RATEROS,1,,,
LALLÍ,1,,,
LAS MISMAS,1,,,
LATIR CORAZON,1,,,
LE DICE,1,,,
LE RESPONDE,1,,,
LEVANTAR,1,,,
LIGERO? NO HAY NADA,1,,,
LIMPIO/BONITO/NUEVO,1,,,
LINDO/HERMOSO,1,,,
LINTERNAS,1,,,
LISTO(A),1,,,
LLAMA,1,,,
LLAMADA,1,,,
LLAMANDO,1,,,
LLAMAR - LLAMAR,1,,,
LLAMAR ATENCIÓN/ OYE,1,,,
LLAMAR POR TELEFONO,1,,,
LLAVE,1,,,
LLEGARON,1,,,
LLEVAR,1,,,
LLORA,1,,,
LLORAR,1,,,
